city,state_name,county_name,population,zip_counts,trx_counts,presc_counts
NORTH BABYLON,NY,SUFFOLK,17134,1,4883,23
OAK FOREST,IL,COOK,27173,1,1834,13
MENASHA,WI,WINNEBAGO,17873,1,6060,36
PORT ALLEN,LA,WEST BATON ROUGE,4743,1,2260,7
TEMECULA,CA,RIVERSIDE,114761,5,16708,110
SUN CITY,AZ,MARICOPA,38877,3,20794,109
SMITHFIELD,VA,ISLE OF WIGHT,10702,2,1001,6
GARWOOD,NJ,UNION,4352,1,1913,6
WINNEBAGO,IL,WINNEBAGO,2991,1,1353,3
GALLUP,NM,MCKINLEY,22917,2,4251,55
PINELLAS PARK,FL,PINELLAS,53637,6,11438,50
FORT LEE,NJ,BERGEN,38605,1,6297,46
ROSICLARE,IL,HARDIN,1014,1,1474,4
HURT,VA,PITTSYLVANIA,1223,1,3422,5
EVANS,CO,WELD,21205,3,922,15
POLK,PA,VENANGO,768,1,526,4
POINT PLEASANT,NJ,OCEAN,18772,1,322,3
CLARENDON HILLS,IL,DUPAGE,8752,1,465,5
BOARDMAN,OR,MORROW,3913,1,476,6
JEFFERSONVILLE,VT,LAMOILLE,768,1,285,1
UNIONVILLE,TN,BEDFORD,2109,2,295,1
BULL SHOALS,AR,MARION,1946,1,211,2
BARAGA,MI,BARAGA,1946,1,360,1
MULVANE,KS,SUMNER,6489,2,838,3
PARKER,PA,ARMSTRONG,802,1,582,5
BRISTOL,IN,ELKHART,1692,1,1211,4
BROOKSTON,IN,WHITE,1533,1,16,1
ALDERSON,WV,GREENBRIER,2500,1,1087,1
TROPHY CLUB,TX,DENTON,12451,1,500,6
GILA BEND,AZ,MARICOPA,2100,1,192,1
JUNCTION,TX,KIMBLE,2404,1,741,4
CHARENTON,LA,ST. MARY,1500,3,38,1
WEATHERLY,PA,CARBON,2458,1,375,2
MEDICINE BOW,WY,CARBON,259,1,63,1
OGLESBY,IL,LASALLE,3559,1,574,3
BLOOMSBURG,PA,COLUMBIA,49840,1,8450,29
LITTLE ROCK,AR,PULASKI,439815,22,127562,736
JACKSON,TN,MADISON,74065,4,64763,303
CLEVELAND,OH,CUYAHOGA,1710093,30,178946,1641
WEST PALM BEACH,FL,PALM BEACH,111955,9,55593,305
CEDAR FALLS,IA,BLACK HAWK,40536,2,10598,45
OLYMPIA,WA,THURSTON,200915,6,28561,258
LYNN,MA,ESSEX,94299,6,17148,119
KATONAH,NY,WESTCHESTER,1761,1,2091,22
KALISPELL,MT,FLATHEAD,39182,2,15411,139
WYTHEVILLE,VA,WYTHE,7921,1,9202,41
CHICO,CA,BUTTE,117668,6,24124,170
STAUNTON,VA,STAUNTON,59433,2,9482,36
GRAND ISLAND,NE,HALL,53296,2,24078,91
STONE MOUNTAIN,GA,DEKALB,6281,1,5439,36
YUKON,OK,CANADIAN,28084,2,8086,49
SOUTH PLAINFIELD,NJ,MIDDLESEX,24052,1,4103,30
THE VILLAGES,FL,SUMTER,79372,3,41233,162
AMERY,WI,POLK,2812,1,3921,17
PAGE,AZ,COCONINO,7529,2,768,10
BELLEFONTE,PA,CENTRE,12998,1,4269,18
CORTEZ,CO,MONTEZUMA,8736,1,1926,22
DACULA,GA,GWINNETT,6350,1,2313,12
GUAYNABO,PR,GUAYNABO,68024,7,19946,117
LEONARDTOWN,MD,ST. MARY'S,6182,2,2138,24
ATASCADERO,CA,SAN LUIS OBISPO,30075,2,3680,25
ELIZABETH CITY,NC,PASQUOTANK,22711,3,13797,63
MINSTER,OH,AUGLAIZE,2817,1,750,4
CAMUY,PR,CAMUY,4080,1,7010,27
FOSTORIA,OH,SENECA,14458,1,3184,12
WINCHESTER,IL,SCOTT,1467,1,106,2
COLORADO CITY,TX,MITCHELL,5533,1,2703,3
OWATONNA,MN,STEELE,25704,1,6850,41
ARLINGTON,IA,FAYETTE,399,1,163,2
TONASKET,WA,OKANOGAN,1121,1,627,9
MONROE,UT,SEVIER,2358,1,621,2
INDIALANTIC,FL,BREVARD,2908,1,1850,12
SOUTH WHITLEY,IN,WHITLEY,1741,1,2292,4
LAC DU FLAMBEAU,WI,VILAS,1522,1,336,4
SEFFNER,FL,HILLSBOROUGH,8362,2,4828,15
CUBA,NM,SANDOVAL,757,1,607,5
CLENDENIN,WV,KANAWHA,1100,1,605,6
BAYPORT,NY,SUFFOLK,8402,1,580,2
HUDSON,NC,CALDWELL,3709,1,909,7
CROWNPOINT,NM,MCKINLEY,2419,1,413,6
REPUBLIC,PA,FAYETTE,1152,1,567,2
MAYVILLE,ND,TRAILL,1802,1,497,4
KING CITY,MO,GENTRY,992,1,237,1
SPRING LAKE,NJ,MONMOUTH,2904,1,1302,4
BAYVILLE,NY,NASSAU,6732,1,30,2
DIAMOND,IL,GRUNDY,2506,1,224,2
COLFAX,WA,WHITMAN,2872,1,3964,10
HUMBLE,TX,HARRIS,15824,3,11105,86
TEMPLE,TX,BELL,107258,5,28963,287
ASHBURN,VA,LOUDOUN,49848,6,4172,43
PEMBROKE PINES,FL,BROWARD,173591,8,56571,277
TIFTON,GA,TIFT,24466,2,22914,88
EAST SANDWICH,MA,BARNSTABLE,3473,1,91,3
RIVERVIEW,MI,WAYNE,12032,1,5209,25
OMAHA,NE,DOUGLAS,847819,43,132242,1038
JOPLIN,MO,JASPER,84048,4,38943,218
MARRERO,LA,JEFFERSON,30894,1,26234,145
JACKSON,MI,JACKSON,87110,3,21864,172
MUSKOGEE,OK,MUSKOGEE,39789,3,15579,87
PANHANDLE,TX,CARSON,2312,1,127,3
ROCKFORD,IL,WINNEBAGO,282762,13,64169,404
MINOT,ND,WARD,49425,4,13661,106
KINGSTON,PA,LUZERNE,12812,1,13012,74
CASTRO VALLEY,CA,ALAMEDA,63013,3,6092,54
SAN JACINTO,CA,RIVERSIDE,49215,3,4958,13
MARYSVILLE,PA,PERRY,2559,1,1035,4
SUNNYSIDE,WA,YAKIMA,18352,1,2818,20
LA PUENTE,CA,LOS ANGELES,39614,4,2339,12
EAST PETERSBURG,PA,LANCASTER,4504,1,1193,4
AVENEL,NJ,MIDDLESEX,18592,1,1260,18
OKMULGEE,OK,OKMULGEE,13357,1,8038,15
BENTON,IL,FRANKLIN,7518,1,2517,13
NOGALES,AZ,SANTA CRUZ,30917,1,6053,22
WINCHESTER,IN,RANDOLPH,4705,1,3346,9
PLAINVIEW,TX,HALE,23424,2,5156,27
PLEASANTVILLE,NY,WESTCHESTER,7260,1,1837,11
PRINCETON,MN,MILLE LACS,4975,1,1716,20
THREE RIVERS,MI,ST. JOSEPH,10560,1,1216,12
BETHUNE,SC,KERSHAW,350,1,23,1
MINOOKA,IL,GRUNDY,11397,1,457,5
DUNDEE,FL,POLK,5044,4,2681,5
WRANGELL,AK,WRANGELL,2502,2,126,2
BAY PINES,FL,PINELLAS,3238,2,201,5
BYRON,GA,PEACH,5226,1,3423,3
WINNEMUCCA,NV,HUMBOLDT,10764,1,750,6
PURCELLVILLE,VA,LOUDOUN,15742,2,1361,13
CROSBY,TX,HARRIS,2645,1,1464,3
HAPPY VALLEY,OR,CLACKAMAS,22553,3,1147,10
DURYEA,PA,LUZERNE,4852,1,868,4
EDINBORO,PA,ERIE,6222,2,1000,8
HARDIN,IL,CALHOUN,900,1,1177,3
HAMPTON,GA,HENRY,8073,1,1513,11
KIOWA,KS,BARBER,931,1,351,2
ADEL,GA,COOK,6989,1,3261,8
LAKE VILLAGE,AR,CHICOT,2203,1,7258,10
LONDON,OH,MADISON,14870,1,5883,18
HOLIDAY ISLAND,AR,CARROLL,2353,1,56,1
CUSSETA,GA,CHATTAHOOCHEE,10907,2,638,2
BARNHART,MO,JEFFERSON,5948,2,240,1
SPRINGFIELD,TN,ROBERTSON,18241,1,8731,41
FLORENCE,SC,FLORENCE,93131,6,56731,261
WOODWARD,OK,WOODWARD,12121,2,4416,18
ENTERPRISE,MS,CLARKE,475,1,43,2
MIDLAND,MI,MIDLAND,58787,5,23561,152
BOUNTIFUL,UT,DAVIS,43981,2,8211,70
PROCTORVILLE,OH,LAWRENCE,542,1,2835,12
JUNCOS,PR,JUNCOS,7607,1,12233,28
SMITHFIELD,NC,JOHNSTON,32156,1,11116,52
ALTON,TX,HIDALGO,18105,1,1077,4
ELLISVILLE,MO,ST. LOUIS,9862,2,1150,14
GARDNERVILLE,NV,DOUGLAS,6121,2,1201,12
WEST GROVE,PA,CHESTER,2839,1,4383,21
VINTON,IA,BENTON,5075,1,2734,9
MESQUITE,NV,CLARK,19726,3,2103,11
HELENA,AL,SHELBY,19925,2,2648,2
SOCIETY HILL,SC,DARLINGTON,528,1,2906,4
SHERIDAN,OR,YAMHILL,8590,1,228,5
LITCHFIELD,MN,MEEKER,6650,1,3480,12
CHAPPAQUA,NY,WESTCHESTER,1434,1,606,6
MENDENHALL,MS,SIMPSON,2387,1,1899,7
FULTON,AL,CLARKE,246,2,299,3
NORTH OLMSTED,OH,CUYAHOGA,31341,1,1486,13
BLUE ASH,OH,HAMILTON,12372,3,4660,45
COTO LAUREL,PR,PONCE,1965,1,5841,20
SAG HARBOR,NY,SUFFOLK,2283,1,427,4
PERRY,UT,BOX ELDER,5248,1,54,1
CEDARHURST,NY,NASSAU,6633,1,4223,20
SHELL LAKE,WI,WASHBURN,1310,1,1164,3
YOAKUM,TX,DEWITT,5940,1,1438,8
WURTSBORO,NY,SULLIVAN,3854,1,145,1
WALNUT,CA,LOS ANGELES,29685,2,2098,6
JOHNSON CREEK,WI,JEFFERSON,3046,2,401,2
DAYTON,VA,ROCKINGHAM,1637,1,2688,4
SWANNANOA,NC,BUNCOMBE,4127,1,145,3
BUFFALO,SD,HARDING,369,1,114,2
WALLACE,ID,SHOSHONE,782,1,571,1
THAYER,MO,OREGON,2836,1,872,1
MOORCROFT,WY,CROOK,1084,1,141,1
TURLOCK,CA,STANISLAUS,107317,3,23056,81
SPRINGFIELD,MA,HAMPDEN,623401,20,69939,557
EXETER,CA,TULARE,10485,1,837,7
BRAINTREE,MA,NORFOLK,37190,2,10768,62
MONTGOMERY VILLAGE,MD,MONTGOMERY,34332,1,1040,8
ALBANY,GA,DOUGHERTY,89217,8,38799,160
HAYWARD,CA,ALAMEDA,159203,7,12236,82
LOUISVILLE,OH,STARK,9360,1,5421,13
MUNSTER,IN,LAKE,22476,1,23380,156
JUPITER,FL,PALM BEACH,65791,3,27410,167
MOORE,OK,CLEVELAND,62055,2,4912,24
SAN CARLOS,CA,SAN MATEO,30185,1,2472,42
PAPILLION,NE,SARPY,20471,2,2418,27
HOPEWELL,VA,HOPEWELL,22529,1,9644,31
BRENHAM,TX,WASHINGTON,17863,2,8171,29
MONTCLAIR,CA,SAN BERNARDINO,40083,1,6894,33
POWELL,WY,PARK,6253,1,1913,14
ROCHELLE,IL,OGLE,10723,1,3387,14
WALNUT,MS,TIPPAH,754,1,146,2
COQUILLE,OR,COOS,4439,1,1788,6
PENN YAN,NY,YATES,6469,1,5401,18
VONORE,TN,MONROE,1552,2,3411,10
LUQUILLO,PR,LUQUILLO,7599,1,1854,10
NORTHVILLE,MI,WAYNE,5958,1,3327,29
LAKE KATRINE,NY,ULSTER,2472,1,2571,14
WEIDMAN,MI,ISABELLA,817,1,420,1
PAINESVILLE,OH,LAKE,19886,1,2535,18
NASELLE,WA,PACIFIC,421,1,40,1
WALBRIDGE,OH,WOOD,3153,1,13,1
WATERFORD,WI,RACINE,5562,1,262,3
CLEAR LAKE,SD,DEUEL,1262,1,545,1
BEARDSTOWN,IL,CASS,5807,1,670,3
CARRBORO,NC,ORANGE,21190,2,1697,18
IMPERIAL BEACH,CA,SAN DIEGO,27440,3,914,7
LAFAYETTE,CA,CONTRA COSTA,26638,1,2949,17
LAKEVILLE,NY,LIVINGSTON,800,1,499,2
WELLSVILLE,KS,FRANKLIN,1781,1,1487,1
NEWARK,AR,INDEPENDENCE,1199,1,84,1
CARTHAGE,MO,JASPER,15892,1,6353,17
BELZONI,MS,HUMPHREYS,4029,1,2166,4
SEAGOVILLE,TX,DALLAS,16861,1,92,2
SPARTA,TN,WHITE,5476,1,6882,21
GOODLAND,KS,SHERMAN,4469,1,905,8
BROOKHAVEN,PA,DELAWARE,8049,1,809,4
WESTBROOK,MN,COTTONWOOD,704,1,693,2
GRINDSTONE,PA,FAYETTE,599,1,564,2
LYNNVILLE,IA,JASPER,393,1,25,1
HAINES,AK,HAINES,1863,1,81,4
EDGERTON,WI,ROCK,7431,1,791,7
BAYFIELD,CO,LA PLATA,2970,1,174,1
LAPLACE,LA,ST. JOHN THE BAPTIST,29108,2,535,3
CLIFTON,IL,IROQUOIS,1321,1,1567,2
WABASHA,MN,WABASHA,2473,1,2495,11
BONHAM,TX,FANNIN,10386,1,4052,14
WACONIA,MN,CARVER,12428,1,5601,41
MUNCIE,IN,DELAWARE,87879,6,35452,178
CHICAGO RIDGE,IL,COOK,13928,1,4803,13
TWIN FALLS,ID,TWIN FALLS,55556,2,22973,129
CAMPBELL,CA,SANTA CLARA,41793,3,4631,47
POWAY,CA,SAN DIEGO,49323,2,8909,71
GRAPEVINE,TX,TARRANT,55281,2,7639,79
MIFFLINTOWN,PA,JUNIATA,4254,1,5238,14
CHELSEA,MA,SUFFOLK,39690,2,5414,39
BLACKSBURG,VA,MONTGOMERY,91888,5,11712,58
GILLESPIE,IL,MACOUPIN,5002,1,2250,10
WESTERVILLE,OH,FRANKLIN,41103,3,25669,172
