city,state_name,county_name,population,zip_counts,trx_counts,presc_counts
CANNON FALLS,MN,GOODHUE,4050,1,440,6
PRESCOTT,MI,OGEMAW,254,1,230,2
LINCOLN,AL,TALLADEGA,6781,2,1426,4
PLANADA,CA,MERCED,4418,2,197,1
MECHANICSVILLE,VA,HANOVER,37496,2,24565,115
BAY CITY,MI,BAY,66107,2,28954,122
HIALEAH,FL,MIAMI-DADE,233339,6,169404,397
GREENFIELD,IN,HANCOCK,23006,1,10214,43
KAUKAUNA,WI,OUTAGAMIE,16270,1,2780,15
BOARDMAN,OH,MAHONING,34431,4,8617,50
NAMPA,ID,CANYON,184428,3,15576,109
ELLINGTON,MO,REYNOLDS,928,1,1061,5
VANCEBURG,KY,LEWIS,1400,1,1582,12
FERGUS FALLS,MN,OTTER TAIL,13794,2,8964,39
OCILLA,GA,IRWIN,3732,1,1667,5
LOS LUNAS,NM,VALENCIA,69020,1,5207,25
ROSEMEAD,CA,LOS ANGELES,54058,3,20720,36
DENNISON,OH,TUSCARAWAS,2594,1,2535,13
TURTLE LAKE,ND,MCLEAN,554,1,428,4
RIVER FOREST,IL,COOK,10816,1,2308,23
OXFORD,OH,BUTLER,23113,1,4611,18
CONCORDIA,KS,CLOUD,4987,1,1898,10
INDEPENDENCE,IA,BUCHANAN,6124,1,2499,7
AHOSKIE,NC,HERTFORD,4763,1,8569,29
LOWELL,MI,KENT,7501,1,1603,9
DIXON,CA,SOLANO,20803,1,1448,8
CANYONVILLE,OR,DOUGLAS,1965,1,1355,6
ONLEY,VA,ACCOMACK,500,2,1203,8
SNYDER,TX,SCURRY,11371,2,2360,9
MUNDELEIN,IL,LAKE,31051,1,4404,15
LAMONT,CA,KERN,14799,2,1497,7
NYACK,NY,ROCKLAND,7156,1,2471,29
NEWARK,MO,KNOX,90,1,79,1
SUMITON,AL,WALKER,3741,2,3680,3
ROCKLAND,ME,KNOX,8616,1,321,7
GRANTSBURG,WI,BURNETT,1281,1,1873,7
FAIRVIEW,PA,BUTLER,184,1,630,7
ODESSA,FL,PASCO,8036,2,246,5
EDMONTON,KY,METCALFE,1595,1,2666,5
SALTSBURG,PA,INDIANA,803,1,888,3
REESE,MI,TUSCOLA,1364,1,806,2
STRASBURG,CO,ARAPAHOE,3013,1,98,2
CAREFREE,AZ,MARICOPA,3927,1,602,4
BAINBRIDGE,IN,PUTNAM,746,1,496,1
KENDALL,FL,MIAMI-DADE,75312,8,44,1
ELLINWOOD,KS,BARTON,1943,2,246,2
COLUMBUS AFB,MS,LOWNDES,1667,2,24,1
HAWKINS,TX,WOOD,1321,1,180,2
MAULDIN,SC,GREENVILLE,133872,2,2245,7
RISON,AR,CLEVELAND,1212,1,234,1
GOLDENDALE,WA,KLICKITAT,3505,1,1032,6
PORT LUDLOW,WA,JEFFERSON,2828,1,446,2
WATERSMEET,MI,GOGEBIC,400,1,461,3
FORTVILLE,IN,HANCOCK,4162,1,546,5
BREMOND,TX,ROBERTSON,966,1,12,1
CHINOOK,MT,BLAINE,1254,1,306,2
HORTON,KS,BROWN,1685,1,459,2
DRAYTON,ND,PEMBINA,747,1,345,1
OSWEGO,NY,OSWEGO,37420,1,11493,59
VENTNOR CITY,NJ,ATLANTIC,9895,1,2565,10
HOLLY SPRINGS,NC,WAKE,37812,2,2399,17
CHAPIN,SC,LEXINGTON,1633,1,2542,13
VERDIGRE,NE,KNOX,527,1,322,2
CLYDE,NC,HAYWOOD,1304,1,6681,36
BRISTOL,TN,SULLIVAN,70243,3,33846,135
GRAND RAPIDS,MN,ITASCA,11214,3,8444,40
MANSFIELD,OH,RICHLAND,73326,6,25684,135
GREENSBURG,LA,ST. HELENA,652,1,1768,5
BAXTER SPRINGS,KS,CHEROKEE,4741,1,747,8
YARDLEY,PA,BUCKS,2514,1,8997,72
HOT SPRINGS,SD,FALL RIVER,3502,1,1455,12
OMRO,WI,WINNEBAGO,3583,1,143,1
COTTAGE GROVE,MN,WASHINGTON,37604,2,3063,21
WINONA,MN,WINONA,29601,1,4879,40
SANTA CLARITA,CA,LOS ANGELES,312446,10,5502,41
WOONSOCKET,RI,PROVIDENCE,41751,1,17042,71
WARRENTON,GA,WARREN,1720,1,193,3
NEWBERN,TN,DYER,3292,1,727,3
LAURENS,SC,LAURENS,10008,1,12706,21
HOLTON,KS,JACKSON,3208,1,946,9
FRANKLINTON,LA,WASHINGTON,3745,1,4073,11
BOULDER CREEK,CA,SANTA CRUZ,5182,1,189,3
MOUNTAIN VIEW,MO,HOWELL,2649,1,3023,9
SOQUEL,CA,SANTA CRUZ,10883,2,780,9
NASHVILLE,AR,HOWARD,4386,1,3336,12
QUINLAN,TX,HUNT,1524,1,1289,4
BLOUNTSVILLE,AL,BLOUNT,1670,1,848,1
COZAD,NE,DAWSON,3735,1,1379,6
ACKLEY,IA,HARDIN,1498,1,631,4
ORDWAY,CO,CROWLEY,1054,1,109,1
CANDO,ND,TOWNER,1057,1,739,5
UNIVERSITY HEIGHTS,OH,CUYAHOGA,12797,1,299,5
HIGHTSTOWN,NJ,MERCER,5304,1,439,2
KEENESBURG,CO,WELD,1237,1,388,1
BASSFIELD,MS,JEFFERSON DAVIS,212,1,364,1
GRABILL,IN,ALLEN,1152,1,506,2
MENLO,GA,CHATTOOGA,456,1,666,2
HURON,OH,ERIE,6869,1,480,4
SERGEANT BLUFF,IA,WOODBURY,5127,1,671,2
AMITYVILLE,NY,SUFFOLK,9399,1,7179,53
WASHINGTON,DC,DISTRICT OF COLUMBIA,5379184,286,82108,1088
JELLICO,TN,CAMPBELL,2165,2,3805,14
BOGALUSA,LA,WASHINGTON,11504,2,7937,27
KNIGHTDALE,NC,WAKE,17843,2,1428,13
OLDSMAR,FL,PINELLAS,15061,2,3708,18
DUCK,NC,DARE,396,1,258,1
QUINCY,IL,ADAMS,44466,2,29309,148
FISHERSVILLE,VA,AUGUSTA,8647,3,11627,85
BRYAN,OH,WILLIAMS,9401,1,4558,27
CARROLL,IA,CARROLL,9833,1,9601,31
MOUNT KISCO,NY,WESTCHESTER,10795,1,10398,92
ROSWELL,GA,FULTON,94763,3,14511,119
MARION,IN,GRANT,40588,2,12061,58
CAMERON PARK,CA,EL DORADO,19171,2,1623,23
BRISTOL,CT,HARTFORD,59947,2,15289,88
LADSON,SC,BERKELEY,15539,1,2857,15
SOMERVILLE,TN,FAYETTE,3264,1,5431,15
PEARL CITY,HI,HONOLULU,45605,2,176,8
KAYSVILLE,UT,DAVIS,32390,1,843,8
GRAHAM,NC,ALAMANCE,15646,2,1251,9
TEMPLE,GA,CARROLL,4795,1,111,1
POLLOCKSVILLE,NC,JONES,281,1,3830,13
SPANISH FORT,AL,BALDWIN,9214,4,944,2
FRACKVILLE,PA,SCHUYLKILL,3611,2,3019,11
OAKLAND,FL,ORANGE,3123,3,306,1
BURLINGTON,KY,BOONE,17401,1,1169,6
CAYCE,SC,LEXINGTON,14009,4,2180,4
AUBURN,KY,LOGAN,1380,1,139,3
BLACKWOOD,NJ,CAMDEN,4929,1,2701,18
RUGBY,ND,PIERCE,2590,1,1176,9
LOUISIANA,MO,PIKE,3207,1,4227,10
AMANDA,OH,FAIRFIELD,738,1,109,2
SOUTH WAVERLY,PA,BRADFORD,1004,1,130,1
KANAB,UT,KANE,4931,1,1448,9
DEFUNIAK SPRINGS,FL,WALTON,7823,2,3717,12
HINTON,OK,CADDO,3219,1,244,2
CROYDON,PA,BUCKS,10034,1,438,1
TAFT,CA,KERN,14898,2,1530,5
FRANKLIN,NE,FRANKLIN,910,1,1279,4
BUELLTON,CA,SANTA BARBARA,5102,1,129,3
SALINA,OK,MAYES,1394,1,583,6
NEGAUNEE,MI,MARQUETTE,4525,1,1148,4
BUCKLEY,MI,WEXFORD,718,1,502,3
NAPLES,TX,MORRIS,1313,1,1635,2
VIRDEN,IL,MACOUPIN,4148,1,30,1
AFTON,OK,OTTAWA,1020,1,353,4
FARMINGTON,AR,WASHINGTON,7400,1,332,2
KIMBALL,TN,MARION,1449,2,1481,4
MOUNT VERNON,IL,JEFFERSON,15427,1,16406,70
MADISON,WI,DANE,447245,29,78881,763
TROY,MI,OAKLAND,84092,6,36324,215
LEBANON,PA,LEBANON,78302,2,18120,103
WASHINGTON,NC,BEAUFORT,16014,2,10340,43
MINOCQUA,WI,ONEIDA,326,1,6946,40
PASADENA,CA,LOS ANGELES,141029,24,43806,330
PITTSTON,PA,LUZERNE,7802,1,9012,15
KILLEEN,TX,BELL,258009,6,5653,64
ELKHART,IN,ELKHART,147567,4,27825,108
LAWRENCEVILLE,GA,GWINNETT,30834,2,38339,255
CAMERON,MO,CLINTON,9649,1,3403,15
EMMETT,ID,GEM,9889,1,1625,9
LAKE CITY,FL,COLUMBIA,26271,3,15717,73
FAIRLAWN,OH,SUMMIT,7514,1,10122,74
JEANNETTE,PA,WESTMORELAND,9074,1,6275,20
COLLEYVILLE,TX,TARRANT,27091,1,4176,48
BARRY,IL,PIKE,1247,1,1296,3
COLDWATER,KS,COMANCHE,736,1,799,4
HOPEDALE,IL,TAZEWELL,825,1,2117,7
MATAWAN,NJ,MONMOUTH,8640,1,5215,21
CALIFORNIA,MD,ST. MARY'S,14815,3,1076,9
SANTA PAULA,CA,VENTURA,30233,2,4735,28
SIDNEY,NE,CHEYENNE,6115,2,2483,12
WHITESBORO,TX,GRAYSON,4300,1,973,5
MORGAN HILL,CA,SANTA CLARA,45952,1,2652,17
BARDWELL,KY,CARLISLE,673,1,278,2
ALEXANDRIA BAY,NY,JEFFERSON,1028,1,617,4
FORREST CITY,AR,ST. FRANCIS,13820,3,5256,14
JESUP,IA,BUCHANAN,2703,1,118,2
WILLCOX,AZ,COCHISE,3533,2,2313,13
GRAHAM,TX,YOUNG,8755,1,5791,11
TUCUMCARI,NM,QUAY,4867,1,716,7
MONTGOMERYVILLE,PA,MONTGOMERY,13082,3,95,2
WENONAH,NJ,GLOUCESTER,2212,1,696,5
SAN MARINO,CA,LOS ANGELES,13048,2,3768,27
GRIMES,IA,POLK,14804,1,348,3
VICTORIA,VA,LUNENBURG,1626,1,2600,7
HALF MOON BAY,CA,SAN MATEO,23653,1,647,11
DICKINSON,TX,GALVESTON,21129,1,6017,20
MOUNT ARLINGTON,NJ,MORRIS,5852,2,782,5
FRANKLIN,NH,MERRIMACK,9817,1,2432,11
MOUNT MORRIS,PA,GREENE,713,1,319,6
SANIBEL,FL,LEE,7401,1,607,4
NORMANDY PARK,WA,KING,6604,1,294,2
HAYSI,VA,DICKENSON,465,1,115,1
WHISPERING PINES,NC,MOORE,4078,1,814,3
ROCKY POINT,NC,PENDER,1687,1,1890,5
SOUTH HAVEN,MN,WRIGHT,193,1,12,1
VIENNA,GA,DOOLY,3549,1,336,1
LEADVILLE,CO,LAKE,5554,1,213,5
GLENNALLEN,AK,VALDEZ-CORDOVA,411,1,34,2
HARRIMAN,NY,ORANGE,2452,1,13,1
EVANSVILLE,IN,VANDERBURGH,230427,28,66469,386
ROYAL OAK,MI,OAKLAND,59277,3,19713,214
TUCKER,GA,DEKALB,36395,4,26804,70
VALLEY COTTAGE,NY,ROCKLAND,9023,2,892,6
COON RAPIDS,MN,ANOKA,62998,2,15511,109
NIAGARA FALLS,NY,NIAGARA,47720,5,17726,79
LYNCHBURG,VA,LYNCHBURG,126814,8,41605,269
JACKSONVILLE,TX,CHEROKEE,14815,1,6391,26
OAKES,ND,DICKEY,1701,1,3794,13
HAYWARD,WI,SAWYER,2607,1,3697,23
RIDGELAND,MS,MADISON,24104,2,5279,40
MUNISING,MI,ALGER,2780,1,2380,13
ROCKPORT,IN,SPENCER,2144,1,1889,7
HUDSON,NY,COLUMBIA,10413,1,8482,52
HOLLY HILL,FL,VOLUSIA,12357,2,542,4
GREELEY,CO,WELD,137810,6,18171,160
LITCHFIELD PARK,AZ,MARICOPA,6436,1,1414,17
PLEASANT HILL,MO,CASS,8683,2,1338,6
STREATOR,IL,LASALLE,17021,1,3368,16
KIMBERLING CITY,MO,STONE,3040,1,288,2
AIBONITO,PR,AIBONITO,7820,1,23204,41
ELKO,NV,ELKO,21179,1,3279,29
RICHMOND,MO,RAY,5653,1,3241,11
LAKE BARRINGTON,IL,LAKE,4868,1,3453,23
CANBY,OR,CLACKAMAS,19393,1,1996,14
CUDAHY,WI,MILWAUKEE,18104,1,4903,25
MULLENS,WV,WYOMING,1325,1,911,2
THORNVILLE,OH,PERRY,1008,1,320,2
LUXEMBURG,WI,KEWAUNEE,2571,1,691,6
PAGELAND,SC,CHESTERFIELD,3915,1,1312,2
WELLINGTON,KS,SUMNER,7662,1,8426,11
UTICA,MI,MACOMB,5107,3,609,9
NEW CARLISLE,IN,ST. JOSEPH,4122,1,2125,5
ROBERTSDALE,AL,BALDWIN,9817,1,2263,6
ROGERSVILLE,AL,LAUDERDALE,1251,1,721,2
PORTAGEVILLE,MO,NEW MADRID,2943,1,1521,6
HAXTUN,CO,PHILLIPS,904,1,289,3
BALTIMORE,OH,FAIRFIELD,3548,1,340,1
JEFFERSONTOWN,KY,JEFFERSON,27715,4,33,1
CASHIERS,NC,JACKSON,137,1,769,4
TREMONT,PA,SCHUYLKILL,1666,1,49,1
RUSSELL,KY,GREENUP,3231,2,921,1
LIBERTY,NC,RANDOLPH,2658,1,829,4
MIO,MI,OSCODA,1743,1,47,1
UPLAND,IN,GRANT,3726,1,844,5
PECK,MI,SANILAC,595,1,90,1
BELLEVUE,IA,JACKSON,2564,1,828,1
ITASCA,IL,DUPAGE,9805,1,641,3
DANDRIDGE,TN,JEFFERSON,5647,1,5853,15
COLUMBUS,OH,FRANKLIN,1562009,54,190842,1550
BRADENTON,FL,MANATEE,59439,5,63605,346
HICKORY,NC,CATAWBA,218323,3,48946,244
MESQUITE,TX,DALLAS,140937,5,22140,123
BASSETT,VA,HENRY,1065,1,941,9
PASSAIC,NJ,PASSAIC,69703,1,6212,27
NEWPORT,RI,NEWPORT,24334,2,2845,30
SANTA FE,NM,SANTA FE,111269,6,23523,206
MONTPELIER,VT,WASHINGTON,7372,5,2242,19
WOODSTOCK,GA,CHEROKEE,33039,2,8436,69
MONTEBELLO,CA,LOS ANGELES,61954,1,20888,99
BROOKLYN,MI,JACKSON,2703,1,2127,6
LAWRENCE,MA,ESSEX,80028,4,21969,165
DEMING,NM,LUNA,13924,2,5186,22
ONTARIO,OR,MALHEUR,24704,1,3206,32
LYNBROOK,NY,NASSAU,19448,1,7104,45
RUSHFORD,MN,FILLMORE,1695,1,387,2
DALLAS,OR,POLK,17859,1,3867,19
SOUTH CHARLESTON,WV,KANAWHA,12047,3,19917,95
ONEIDA,NY,MADISON,20828,1,4873,26
CHIPPEWA FALLS,WI,CHIPPEWA,14366,2,3942,29
SCOTTDALE,PA,WESTMORELAND,4094,1,2327,10
LARKSPUR,CA,MARIN,12254,3,2689,26
MELROSE PARK,IL,COOK,24703,3,11285,78
NORTH LAS VEGAS,NV,CLARK,251974,10,5945,32
BETHLEHEM,GA,BARROW,725,2,721,6
NILES,IL,COOK,28938,2,8562,48
BLACKSHEAR,GA,PIERCE,3965,1,3351,8
WINSTED,CT,LITCHFIELD,7121,1,1837,10
TUTWILER,MS,TALLAHATCHIE,3416,1,397,3
PRATTVILLE,AL,AUTAUGA,35957,3,8560,33
HAZLEHURST,MS,COPIAH,4528,1,7476,8
MCLEANSBORO,IL,HAMILTON,2746,1,577,3
KENNETT SQUARE,PA,CHESTER,6202,1,5681,31
ROSSVILLE,KS,SHAWNEE,1124,1,204,1
WEST JEFFERSON,NC,ASHE,1315,1,491,4
SPRING HILL,KS,JOHNSON,7345,1,456,5
MORTON,WA,LEWIS,1199,1,1072,3
ROSSVILLE,IN,CLINTON,1545,1,367,2
PRINCETON,NC,JOHNSTON,1398,1,345,1
BONAPARTE,IA,VAN BUREN,403,1,62,1
UNION CITY,GA,FULTON,22399,4,2253,9
NEW CASTLE,CO,GARFIELD,6275,1,152,1
WHITING,IN,LAKE,4765,1,820,8
PINECREST,FL,MIAMI-DADE,19155,1,809,8
VAIL,CO,EAGLE,5964,1,439,7
EAST GRAND FORKS,MN,POLK,8535,1,1314,7
VALDERS,WI,MANITOWOC,920,1,232,1
TRAFFORD,PA,WESTMORELAND,3039,1,4844,7
VALLIANT,OK,MCCURTAIN,738,1,30,1
POCAHONTAS,AR,RANDOLPH,6645,1,5694,13
HALEIWA,HI,HONOLULU,3757,2,896,7
OTTOVILLE,OH,PUTNAM,964,2,489,1
WOODBURN,IN,ALLEN,1639,1,17,1
CROSSVILLE,AL,DEKALB,1857,1,603,2
TURNERS FALLS,MA,FRANKLIN,4010,1,3472,13
MATLACHA,FL,LEE,537,1,165,1
THREE FORKS,MT,GALLATIN,2055,1,168,3
SAEGERTOWN,PA,CRAWFORD,946,1,487,1
ARCANUM,OH,DARKE,2008,1,1123,2
PANORA,IA,GUTHRIE,1067,1,318,3
HARTINGTON,NE,CEDAR,1464,1,717,3
NEW BRUNSWICK,NJ,MIDDLESEX,55676,4,10777,155
HOUMA,LA,TERREBONNE,140469,3,29275,139
LAGUNA HILLS,CA,ORANGE,31207,1,26464,161
BURNSVILLE,NC,YANCEY,1647,1,3125,15
SILVERDALE,WA,KITSAP,21677,3,3891,54
WEST ALLIS,WI,MILWAUKEE,59890,3,17609,103
PASCO,WA,FRANKLIN,75432,2,7116,48
MELROSE,MA,MIDDLESEX,28016,1,6811,43
LYLES,TN,HICKMAN,1153,1,708,4
NEBRASKA CITY,NE,OTOE,7292,1,2967,9
MANAHAWKIN,NJ,OCEAN,2094,1,10088,63
LISLE,IL,DUPAGE,23270,1,3421,26
MONROVIA,CA,LOS ANGELES,36331,3,2924,16
ISLAND CITY,OR,UNION,1033,1,45,1
CENTRALIA,MO,BOONE,4271,1,178,2
OSCEOLA,IA,CLARKE,5242,1,1614,9
FRANKLIN,OH,WARREN,11612,1,2364,18
FEASTERVILLE,PA,BUCKS,2571,1,1278,6
ROYSE CITY,TX,ROCKWALL,14702,1,1727,7
NEW PARIS,IN,ELKHART,1503,1,721,2
YOUNGSVILLE,NC,FRANKLIN,1375,1,107,3
TRINIDAD,CO,LAS ANIMAS,8276,2,3996,18
NIAGARA,WI,MARINETTE,1544,1,904,3
NEW MARTINSVILLE,WV,WETZEL,5853,1,2428,12
GRANVILLE,IL,PUTNAM,1308,1,418,2
LINCOLN PARK,NJ,MORRIS,10111,1,327,5
LIVINGSTON,AL,SUMTER,3260,1,704,2
ROCHESTER,WA,THURSTON,3126,1,335,4
TWIN CITY,GA,EMANUEL,1701,1,253,1
URBANNA,VA,MIDDLESEX,458,1,168,2
CARTERVILLE,IL,WILLIAMSON,5847,1,3288,10
PASS CHRISTIAN,MS,HARRISON,6307,1,46,1
GLENSHAW,PA,ALLEGHENY,8669,1,14,1
RYAN,OK,JEFFERSON,750,1,60,1
EDWARDSVILLE,PA,LUZERNE,4723,1,241,4
MCCORDSVILLE,IN,HANCOCK,7479,1,431,4
BOURBON,MO,CRAWFORD,1582,1,1174,3
NORWALK,WI,MONROE,632,1,22,1
BOSCOBEL,WI,GRANT,3156,1,743,4
CHILLICOTHE,OH,ROSS,31999,1,21002,114
IOWA CITY,IA,JOHNSON,118041,6,34513,412
VICKSBURG,MS,WARREN,26340,4,11395,58
DREXEL HILL,PA,DELAWARE,27939,1,10229,56
LEAWOOD,KS,JOHNSON,34727,4,7776,74
SCARSDALE,NY,WESTCHESTER,17871,1,8392,70
BLAIRSVILLE,GA,UNION,643,2,11781,38
MILFORD,CT,NEW HAVEN,54328,2,7898,60
VALENTINE,NE,CHERRY,2706,1,1201,8
EDDYVILLE,KY,LYON,2545,1,1820,7
RIVERTON,UT,SALT LAKE,44440,2,2164,23
PAWHUSKA,OK,OSAGE,3452,1,1436,9
EAST STROUDSBURG,PA,MONROE,57577,1,15390,96
DAVISON,MI,GENESEE,4881,1,7861,22
OSWEGO,KS,LABETTE,1680,1,1343,5
LA QUINTA,CA,RIVERSIDE,41748,4,5311,43
LUMPKIN,GA,STEWART,1266,1,36,1
SUPERIOR,NE,NUCKOLLS,1807,1,1539,7
COMMERCE,TX,HUNT,9680,2,2411,7
SHERWOOD,OR,WASHINGTON,19879,1,1467,11
ATOKA,TN,TIPTON,21428,2,1125,9
JACKSON,WY,TETON,12576,2,1736,22
SPRING GREEN,WI,SAUK,1641,1,801,8
NEVADA,IA,STORY,6677,1,2928,8
LEMOYNE,PA,CUMBERLAND,4634,1,7123,40
MAUNABO,PR,MAUNABO,1810,1,3400,7
MATHIS,TX,SAN PATRICIO,5662,1,379,3
PLEASANT VIEW,UT,WEBER,10839,2,510,5
FALLSTON,MD,HARFORD,8972,1,580,6
MOOREFIELD,WV,HARDY,2596,1,1947,11
MURFREESBORO,AR,PIKE,1586,1,2657,4
MARION,AL,PERRY,3123,1,1365,3
BARDONIA,NY,ROCKLAND,3966,2,148,3
PHILLIPSBURG,KS,PHILLIPS,2471,1,990,3
STRAWBERRY,AR,LAWRENCE,280,1,26,1
PACIFIC GROVE,CA,MONTEREY,15413,1,632,6
LIBERTY HILL,TX,WILLIAMSON,2931,1,90,1
WAURIKA,OK,JEFFERSON,1885,1,1343,3
SCHWENKSVILLE,PA,MONTGOMERY,1379,1,958,4
WEST CHICAGO,IL,DUPAGE,26816,2,106,1
MOUNT VERNON,TX,FRANKLIN,2738,1,155,1
MIDDLETON,TN,HARDEMAN,635,1,483,3
MISSION HILLS,CA,SANTA BARBARA,3842,1,19847,120
WILMINGTON,DE,NEW CASTLE,70166,17,53960,396
BRIDGEPORT,CT,FAIRFIELD,924449,8,24505,192
ABILENE,TX,TAYLOR,123420,11,34045,188
PANAMA CITY BEACH,FL,BAY,12583,3,4845,27
FISHERS,IN,HAMILTON,95310,5,11626,88
YOUNGSTOWN,OH,MAHONING,378732,11,45022,248
ARCADIA,CA,LOS ANGELES,57939,4,31880,159
RANCHO SANTA MARGARITA,CA,ORANGE,47896,2,1895,19
GILLIAM,LA,CADDO,152,1,70,1
PLAINVIEW,NE,PIERCE,1192,1,696,4
BARTOW,FL,POLK,20147,4,5053,26
ORANGE,VA,ORANGE,5291,1,4171,19
VAIL,AZ,PIMA,12982,2,130,3
MARION,IL,WILLIAMSON,17520,2,8090,62
STREAMWOOD,IL,COOK,39228,1,1094,8
EDEN,NC,ROCKINGHAM,16477,2,12334,37
CROFTON,MD,ANNE ARUNDEL,29136,2,402,9
SPARTA,NC,ALLEGHANY,1723,1,3342,10
TALLMADGE,OH,SUMMIT,17519,1,5597,22
CAMP WOOD,TX,REAL,731,1,13,1
LEXINGTON,AL,LAUDERDALE,709,1,1505,4
NORTH ENGLISH,IA,IOWA,1007,1,749,2
REDWAY,CA,HUMBOLDT,1358,1,501,5
GRAND TERRACE,CA,SAN BERNARDINO,12584,1,56,2
ERWIN,TN,UNICOI,9500,1,6543,11
WILLISTON,FL,LEVY,3205,1,2534,10
STEVENSVILLE,MD,QUEEN ANNE'S,7267,1,59,3
CHARLESTON,IL,COLES,20117,1,2719,14
FORT MOHAVE,AZ,MOHAVE,15593,2,4517,19
WHITSETT,NC,GUILFORD,639,2,1728,9
FAIRFIELD BAY,AR,VAN BUREN,2189,1,12,1
SEAMAN,OH,ADAMS,895,1,855,4
FLOMATON,AL,ESCAMBIA,1393,1,1059,3
CALIFORNIA,PA,WASHINGTON,6276,3,1092,7
ROSEBORO,NC,SAMPSON,1167,1,190,2
GREENUP,KY,GREENUP,1113,1,1226,3
TIMMONSVILLE,SC,FLORENCE,2366,1,2031,4
WAKEMAN,OH,HURON,1032,1,634,2
FERRIDAY,LA,CONCORDIA,5412,1,1369,5
SPANISH FORK,UT,UTAH,40913,1,2497,22
WEST FRANKFORT,IL,FRANKLIN,8561,1,1427,9
TEUTOPOLIS,IL,EFFINGHAM,1642,1,2294,4
MILTON,NY,ULSTER,1294,1,61,1
WETUMKA,OK,HUGHES,1202,1,139,2
DOVER PLAINS,NY,DUTCHESS,1096,1,567,4
PERRY,OK,NOBLE,4837,1,1075,5
LA CROSSE,WI,LA CROSSE,100693,3,30902,248
KISSIMMEE,FL,OSCEOLA,382720,5,57182,246
SPRINGFIELD,VA,FAIRFAX,32222,6,5369,62
HAMLIN,TX,JONES,2021,1,626,2
KEARNY,NJ,HUDSON,41058,2,2644,12
HERMANN,MO,GASCONADE,2342,1,1739,5
FITZGERALD,GA,BEN HILL,11135,1,7299,18
ROCKINGHAM,NC,RICHMOND,23016,2,7415,20
LEXINGTON,NE,DAWSON,10345,1,2100,12
OREGON,WI,DANE,12664,1,1350,11
MILLEN,GA,JENKINS,2766,1,1349,5
ASHLAND,OH,ASHLAND,20275,1,12695,39
LINDEN,NJ,UNION,42361,1,3002,20
OXFORD,AL,CALHOUN,21225,3,3105,17
SAUK CITY,WI,SAUK,3485,1,2074,15
WARSAW,IL,HANCOCK,1480,1,60,1
CRESSON,PA,CAMBRIA,10078,1,4342,15
REXBURG,ID,MADISON,30979,2,4247,37
CRAIGSVILLE,WV,NICHOLAS,2375,1,815,2
ROARING SPRING,PA,BLAIR,6718,1,3108,11
ROLLING HILLS ESTATES,CA,LOS ANGELES,8058,1,447,9
RAINBOW CITY,AL,ETOWAH,9611,1,5716,13
HAVRE,MT,HILL,10155,1,2400,21
PLATTSMOUTH,NE,CASS,6534,1,332,4
BENICIA,CA,SOLANO,28240,1,523,8
BLUE RAPIDS,KS,MARSHALL,961,1,860,2
CEDAR BLUFF,VA,TAZEWELL,1002,2,401,4
EMORY,VA,WASHINGTON,1155,2,704,2
NEW HAVEN,IN,ALLEN,15922,3,2077,7
DURAND,IL,WINNEBAGO,1394,1,91,1
KIRTLAND,OH,LAKE,6812,1,260,3
MONROE CITY,MO,MONROE,2438,1,894,2
KERMIT,TX,WINKLER,6613,1,225,3
MENDOTA HEIGHTS,MN,DAKOTA,11343,3,172,3
VILLA PARK,CA,ORANGE,5790,1,380,2
ANN ARBOR,MI,WASHTENAW,322267,6,48253,679
BLUE BELL,PA,MONTGOMERY,6250,2,6234,44
GAINESVILLE,FL,ALACHUA,202335,14,70346,653
MORGANTON,NC,BURKE,16577,2,22881,99
INDEPENDENCE,KS,MONTGOMERY,8931,1,1215,17
LIBERTY,MO,CLAY,32100,2,10311,64
PLYMOUTH,MN,HENNEPIN,79768,4,9167,70
PARKER,AZ,LA PAZ,4959,2,3762,19
MEDINA,OH,MEDINA,25956,1,15750,65
BURLINGTON,KS,COFFEY,2543,1,1840,7
PIEDMONT,SC,ANDERSON,5795,1,3988,15
LA VERGNE,TN,RUTHERFORD,35716,2,409,6
HELLERTOWN,PA,NORTHAMPTON,5831,1,1435,10
ORRVILLE,OH,WAYNE,8603,1,4234,13
DANSVILLE,NY,LIVINGSTON,4764,1,3216,17
LAKE GENEVA,WI,WALWORTH,15518,1,4129,28
BURBANK,IL,COOK,28289,1,3242,20
FORT STOCKTON,TX,PECOS,9495,1,1156,8
LABELLE,FL,HENDRY,13563,2,1586,9
LEBANON,OR,LINN,22160,1,8156,36
ARMOUR,SD,DOUGLAS,669,1,640,5
FARMINGVILLE,NY,SUFFOLK,15714,1,1398,8
DUNLAP,TN,SEQUATCHIE,5176,1,1088,13
MACEDONIA,OH,SUMMIT,12000,1,217,2
PELAHATCHIE,MS,RANKIN,1382,1,932,5
HICKMAN,KY,FULTON,2108,1,256,3
CENTURY,FL,ESCAMBIA,3610,1,812,3
BELLS,TN,CROCKETT,4772,1,134,2
WAYNESVILLE,OH,WARREN,3181,1,1400,1
DELANSON,NY,SCHENECTADY,384,1,557,3
PITCAIRN,PA,ALLEGHENY,3158,1,307,1
UNICOI,TN,UNICOI,3594,1,84,1
GLENNS FERRY,ID,ELMORE,1303,1,442,6
SNEAD,AL,BLOUNT,838,1,929,2
LA FERIA,TX,CAMERON,7230,1,253,2
AURORA,CO,ADAMS,379289,19,56052,625
